"Year"	"Year Code"	"State"	"State Code"	"County"	"County Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"2006"	"2006"	"Alabama"	"01"	"Mobile County, AL"	"01097"	"White"	"2106-3"	13	252038	Unreliable
	"2006"	"2006"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	53	3222564	1.6
	"2006"	"2006"	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"American Indian or Alaska Native"	"1002-5"	11	48884	Unreliable
	"2006"	"2006"	"California"	"06"	"Fresno County, CA"	"06019"	"White"	"2106-3"	20	712905	2.8
	"2006"	"2006"	"California"	"06"	"Kern County, CA"	"06029"	"White"	"2106-3"	20	673025	3.0
	"2006"	"2006"	"California"	"06"	"Los Angeles County, CA"	"06037"	"Black or African American"	"2054-5"	19	985577	Unreliable
	"2006"	"2006"	"California"	"06"	"Los Angeles County, CA"	"06037"	"White"	"2106-3"	128	7196355	1.8
	"2006"	"2006"	"California"	"06"	"Monterey County, CA"	"06053"	"White"	"2106-3"	12	342322	Unreliable
	"2006"	"2006"	"California"	"06"	"Orange County, CA"	"06059"	"White"	"2106-3"	28	2311317	1.2
	"2006"	"2006"	"California"	"06"	"Riverside County, CA"	"06065"	"White"	"2106-3"	48	1697896	2.8
	"2006"	"2006"	"California"	"06"	"Sacramento County, CA"	"06067"	"White"	"2106-3"	42	963387	4.4
	"2006"	"2006"	"California"	"06"	"San Bernardino County, CA"	"06071"	"White"	"2106-3"	76	1592216	4.8
	"2006"	"2006"	"California"	"06"	"San Diego County, CA"	"06073"	"White"	"2106-3"	45	2369882	1.9
	"2006"	"2006"	"California"	"06"	"San Francisco County, CA"	"06075"	"Black or African American"	"2054-5"	10	57569	Unreliable
	"2006"	"2006"	"California"	"06"	"San Francisco County, CA"	"06075"	"White"	"2106-3"	28	433311	6.5
	"2006"	"2006"	"California"	"06"	"San Joaquin County, CA"	"06077"	"White"	"2106-3"	13	482882	Unreliable
	"2006"	"2006"	"California"	"06"	"Santa Clara County, CA"	"06085"	"White"	"2106-3"	41	1066123	3.8
	"2006"	"2006"	"California"	"06"	"Santa Cruz County, CA"	"06087"	"White"	"2106-3"	12	229903	Unreliable
	"2006"	"2006"	"California"	"06"	"Stanislaus County, CA"	"06099"	"White"	"2106-3"	11	443257	Unreliable
	"2006"	"2006"	"California"	"06"	"Ventura County, CA"	"06111"	"White"	"2106-3"	10	704106	Unreliable
	"2006"	"2006"	"Colorado"	"08"	"Boulder County, CO"	"08013"	"White"	"2106-3"	13	265715	Unreliable
	"2006"	"2006"	"Colorado"	"08"	"Denver County, CO"	"08031"	"White"	"2106-3"	34	458034	7.4
	"2006"	"2006"	"Colorado"	"08"	"El Paso County, CO"	"08041"	"White"	"2106-3"	17	506791	Unreliable
	"2006"	"2006"	"Connecticut"	"09"	"Hartford County, CT"	"09003"	"White"	"2106-3"	10	715178	Unreliable
	"2006"	"2006"	"Connecticut"	"09"	"New Haven County, CT"	"09009"	"White"	"2106-3"	14	700432	Unreliable
	"2006"	"2006"	"District of Columbia"	"11"	"District of Columbia, DC"	"11001"	"Black or African American"	"2054-5"	22	325064	6.8
	"2006"	"2006"	"Florida"	"12"	"Bay County, FL"	"12005"	"White"	"2106-3"	18	141785	Unreliable
	"2006"	"2006"	"Florida"	"12"	"Broward County, FL"	"12011"	"White"	"2106-3"	31	1212910	2.6
	"2006"	"2006"	"Florida"	"12"	"Duval County, FL"	"12031"	"White"	"2106-3"	11	549273	Unreliable
	"2006"	"2006"	"Florida"	"12"	"Hillsborough County, FL"	"12057"	"White"	"2106-3"	55	924316	6.0
